id,name,facility_type,beds_total,icu_beds,latitude,longitude,district_name,district_zone,district_population
73d024e7-4714-530f-bef9-f288fd0650e2,CHC Ahmedabad-000,CHC,30,4,22.996907,72.610467,Ahmedabad,Central,8059441
6b4b71e7-a949-55c0-959c-5146fd45349c,CHC Ahmedabad-001,CHC,30,4,23.004334,72.612144,Ahmedabad,Central,8059441
528fc359-bc30-5d58-80ee-4ba70e2687a2,CHC Ahmedabad-002,CHC,30,4,23.032986,72.601793,Ahmedabad,Central,8059441
1b8d8092-6727-5168-9b46-d2912c8d426e,CHC Ahmedabad-003,CHC,30,4,23.056994,72.547205,Ahmedabad,Central,8059441
605b6b40-8942-5391-98dd-d794fc78c87a,CHC Ahmedabad-004,CHC,30,4,23.021308,72.521018,Ahmedabad,Central,8059441
840c67cb-f878-560a-a1b1-ce1064ca1dd2,CHC Ahmedabad-005,CHC,30,4,22.992095,72.554136,Ahmedabad,Central,8059441
57b81a6f-5175-580b-860d-889d311cb1d8,CHC Ahmedabad-006,CHC,30,4,22.996011,72.627305,Ahmedabad,Central,8059441
d41a444f-2ff0-5511-a27b-7e1f6e959406,CHC Ahmedabad-007,CHC,30,4,23.02939,72.554626,Ahmedabad,Central,8059441
2e215b18-4b52-5a7d-aa63-d3949c24c320,CHC Ahmedabad-008,CHC,30,4,22.963066,72.582301,Ahmedabad,Central,8059441
de3c3783-181d-5e0e-848c-00b1be357fcb,CHC Ahmedabad-009,CHC,30,4,23.013813,72.544495,Ahmedabad,Central,8059441
f49ddd83-4a10-53ff-b159-4c50854104cd,CHC Ahmedabad-010,CHC,30,4,23.068849,72.603536,Ahmedabad,Central,8059441
22b29209-57bc-4e7e-96ff-dc6e1bf50e76,Civil Hospital Ahmedabad,District Hospital,1200,80,23.0225,72.5714,Ahmedabad,Central,8059441
1f9f443d-b61e-520c-9a11-264f5ae5fd5c,District Hospital Ahmedabad-000,District Hospital,500,30,23.016222,72.552359,Ahmedabad,Central,8059441
956412fc-85d5-5648-a7d4-4d45e2d96543,District Hospital Ahmedabad-001,District Hospital,500,30,23.046773,72.617117,Ahmedabad,Central,8059441
d7c7c30a-4691-5c7d-b6ec-1dacc3e6cf92,District Hospital Ahmedabad-002,District Hospital,500,30,23.010839,72.569417,Ahmedabad,Central,8059441
a10570a2-9287-53cc-8f82-ea81cb047e99,General Hospital Ahmedabad-000,General Hospital,200,15,23.050119,72.517833,Ahmedabad,Central,8059441
0f9bbd26-d961-5ed6-9be8-975972a046ea,General Hospital Ahmedabad-001,General Hospital,200,15,23.031512,72.520238,Ahmedabad,Central,8059441
cc6f680c-6768-5bb7-8607-aba43c51d05e,General Hospital Ahmedabad-002,General Hospital,200,15,22.962894,72.600959,Ahmedabad,Central,8059441
f069653e-b1c3-58ea-94d2-d80fb8b32f43,General Hospital Ahmedabad-003,General Hospital,200,15,22.99577,72.594529,Ahmedabad,Central,8059441
04e64bdd-92e1-5337-8bb8-64a609d0a9e8,General Hospital Ahmedabad-004,General Hospital,200,15,23.016161,72.626513,Ahmedabad,Central,8059441
247595eb-3d43-53c7-bab8-2b526ab80365,General Hospital Ahmedabad-005,General Hospital,200,15,23.000435,72.538045,Ahmedabad,Central,8059441
3f9d20d3-d0d5-45e2-8a07-c4d6e08d6c60,LG Hospital,General Hospital,450,30,23.0341,72.5877,Ahmedabad,Central,8059441
ef324cdb-f2bc-5ea1-9877-f8fcbc763f53,Medical College Hospital Ahmedabad-000,Medical College Hospital,1000,60,22.987613,72.531915,Ahmedabad,Central,8059441
